# Input sentence w/POS; Possible relationships; Date; Time
['what', 'can', 'Mary', 'do']; []; 11/06/2022; 11:54:19
['what', 'can', 'Mary', 'do']; []; 11/06/2022; 12:14:04
['what', 'can', 'Mary', 'do']; []; 11/06/2022; 12:14:04
['what', 'can', 'Mary', 'do']; []; 11/06/2022; 12:17:37
['what', 'can', 'Mary', 'do']; []; 11/06/2022; 12:17:37
['cam', 'Mary', 'poo']; []; 11/06/2022; 12:24:43
['can', 'Mary', 'poo']; []; 11/06/2022; 12:30:19
['what', 'can', 'Mary', 'do']; []; 11/06/2022; 12:30:19
['what', 'can', 'Mary', 'do']; []; 11/06/2022; 12:31:28
['what', 'can', 'Mary', 'do']; []; 11/06/2022; 12:31:28
['what', 'can', 'Mary', 'do']; []; 11/06/2022; 12:31:28
['what', 'can', 'Mary', 'do']; []; 11/06/2022; 12:47:15
['what', 'is', 'Mary']; []; 11/06/2022; 14:50:01
['what', 'is', 'Mary']; []; 11/06/2022; 14:50:01
['what', 'can', 'Mary', 'do']; []; 11/06/2022; 14:50:01
['what', 'can', 'Mary', 'do']; []; 11/06/2022; 14:56:33
['what', 'can', 'Mary', 'do']; []; 11/06/2022; 14:58:37
['what', 'can', 'Mary', 'do']; []; 11/06/2022; 15:00:45
['what', 'can', 'Mary', 'do']; []; 11/06/2022; 15:02:23
['what', 'can', 'Mary', 'do']; []; 11/06/2022; 15:16:24
['what', 'can', 'Mary', 'do']; []; 11/06/2022; 15:26:26
['what', 'can', 'Mary', 'do']; []; 11/06/2022; 15:29:30
['what', 'can', 'Mary', 'do']; []; 11/06/2022; 15:33:04
['what', 'can', 'Mary', 'do']; []; 11/07/2022; 06:31:29
['what', 'can', 'Mary', 'do']; []; 11/07/2022; 06:36:51
['who', 'is', 'Mary']; []; 11/07/2022; 06:38:07
['what', 'is', 'Mary']; []; 11/07/2022; 06:38:07
['what', 'can', 'Mary', 'do']; []; 11/07/2022; 07:32:15
['see', 'Bob', 'run']; []; 11/08/2022; 05:36:32
['what', 'can', 'Mary', 'do']; []; 11/08/2022; 05:36:32
['what', 'can', 'Mary', 'do']; []; 11/08/2022; 06:27:11
['see', 'Bob', 'run']; []; 11/08/2022; 06:27:11
['see', 'Bob', 'run']; []; 11/08/2022; 06:41:42
['what', 'can', 'Mary', 'do']; []; 11/08/2022; 06:41:42
['what', 'can', 'Mary', 'do']; []; 11/08/2022; 07:38:05
['what', 'can', 'Mary', 'do']; []; 11/08/2022; 07:39:22
['what', 'can', 'Mary', 'do']; []; 11/08/2022; 07:41:44
['what', 'can', 'Mary', 'do']; []; 11/08/2022; 07:45:13
['what', 'can', 'Mary', 'do']; []; 11/08/2022; 08:00:57
['what', 'can', 'Mary', 'do']; []; 11/08/2022; 08:06:57
['what', 'can', 'Mary', 'do']; []; 11/08/2022; 08:10:36
['what', 'can', 'Mary', 'do']; []; 11/08/2022; 08:12:04
['what', 'can', 'Mary', 'do']; []; 11/08/2022; 08:13:01
['what', 'can', 'Bob', 'do']; []; 11/08/2022; 08:19:41
['what', 'can', 'Bob', 'do']; []; 11/08/2022; 08:31:51
['what', 'can', 'Mary', 'do']; []; 11/08/2022; 08:32:52
['what', 'is', 'Pookie']; []; 11/08/2022; 08:58:47
['what', 'can', 'Mary', 'do']; []; 11/08/2022; 08:58:47
['what', 'is', 'Mary']; []; 11/08/2022; 08:58:47
['what', 'is', 'Mary']; []; 11/08/2022; 09:05:48
['what', 'can', 'Pookie', 'do']; []; 11/11/2022; 05:50:53
['what', 'is', 'Pookie']; []; 11/11/2022; 05:50:53
['who', 'is', 'Pookie']; []; 11/11/2022; 05:50:53
['what', 'can', 'a', 'bus', 'do']; []; 11/11/2022; 05:50:53
['what', 'can', 'bus', 'do']; []; 11/11/2022; 05:50:53
['what', 'bus', 'do']; []; 11/11/2022; 06:19:43
['what', 'can', 'bus', 'do']; []; 11/11/2022; 06:19:43
['what', 'can', 'bus', 'do']; ['bus,transport']; 11/11/2022; 06:21:30
['Bob', 'walks', 'in', 'the', 'park']; ['Bob,walk']; 11/11/2022; 06:21:30
['what', 'can', 'bus', 'do']; ['bus,transport']; 11/11/2022; 06:38:36
['Bob', 'walks', 'in', 'the', 'park']; ['Bob,walk']; 11/11/2022; 06:38:36
['what', 'can', 'bus', 'do']; ['bus,transport']; 11/11/2022; 06:59:02
['what', 'can', 'bus', 'do']; ['bus,transport']; 11/11/2022; 07:14:05
['what', 'can', 'bus', 'do']; ['bus,transport']; 11/11/2022; 07:16:11
['what', 'can', 'Bob', 'do']; ['Bob,see,eat,walk,run']; 11/11/2022; 07:53:01
['what', 'can', 'bus', 'do']; ['bus,transport']; 11/11/2022; 07:53:01
['what', 'can', 'Mary', 'do']; ['Mary,see,eat,walk,run']; 11/11/2022; 07:56:34
['what', 'can', 'bus', 'do']; ['bus,transport']; 11/11/2022; 07:56:34
['Bob', 'walks', 'in', 'the', 'park']; ['Bob,walk']; 11/11/2022; 07:56:34
['Bob', 'walks', 'in', 'the', 'park']; ['Bob,walk']; 11/11/2022; 08:07:34
['what', 'can', 'Mary', 'do']; ['Mary,see,eat,walk,run']; 11/11/2022; 08:07:34
['Bob', 'walks', 'in', 'the', 'park']; ['Bob,walk']; 11/11/2022; 08:11:54
['Bob', 'walks', 'in', 'the', 'park']; ['Bob,walk']; 11/11/2022; 08:12:44
['Bob', 'walks', 'in', 'the', 'park']; ['Bob,walk']; 11/11/2022; 08:13:25
['what', 'can', 'Mary', 'do']; ['Mary,see,eat,walk,run']; 11/11/2022; 08:13:25
['what', 'can', 'Mary', 'do']; ['Mary,NNP,see,eat,walk,run']; 11/11/2022; 08:21:30
['Bob', 'walks', 'in', 'the', 'park']; ['Bob,walk']; 11/11/2022; 08:21:30
['what', 'can', 'bus', 'do']; ['bus,NN,transport']; 11/11/2022; 08:21:30
['what', 'can', 'Mary', 'do']; ['Mary,NNP,see,eat,walk,run']; 11/11/2022; 08:21:30
['what', 'can', 'Mary', 'do']; ['Mary,NNP,see,eat,walk,run']; 11/11/2022; 08:54:28
['what', 'can', 'bus', 'do']; ['bus,NN,transport']; 11/11/2022; 08:54:28
['what', 'can', 'Mary', 'do']; ['Mary,NNP,see,eat,walk,run']; 11/11/2022; 09:00:27
['what', 'can', 'Mary', 'do']; ['Mary,NNP,see,eat,walk,run']; 11/11/2022; 09:02:34
['what', 'can', 'Mary', 'do']; ['Mary,NNP,see,eat,walk,run']; 11/11/2022; 09:04:04
['Bob', 'walks', 'in', 'the', 'park']; ['Bob,walk']; 11/11/2022; 09:04:04
['what', 'can', 'bus', 'do']; ['bus,NN,transport']; 11/11/2022; 09:04:04
['what', 'can', 'bus', 'do']; ['bus,NN,transport']; 11/11/2022; 09:07:02
['what', 'can', 'Mary', 'do']; ['Mary,NNP,see,eat,walk,run']; 11/11/2022; 09:07:02
['what', 'can', 'bus', 'do']; ['bus,NN,transport']; 11/11/2022; 09:07:02
['what', 'can', 'Mary', 'do']; ['Mary,NNP,see,eat,walk,run']; 11/11/2022; 09:13:52
['what', 'can', 'bus', 'do']; ['bus,NN,transport']; 11/11/2022; 09:13:52
['what', 'can', 'Pookie', 'do']; ['Pookie,NNP,see,eat,walk,run']; 11/11/2022; 09:13:52
['what', 'can', 'telescope', 'do']; ['telescope,NN,magnify']; 11/11/2022; 09:13:52
['what', 'is', 'Mary']; []; 11/11/2022; 11:08:45
['who', 'is', 'Mary']; []; 11/11/2022; 11:08:45
['see', 'Mary', 'run']; []; 11/11/2022; 11:24:21
['see', 'Mary', 'run']; []; 11/11/2022; 12:06:18
['Mary', 'walks', 'in', 'the', 'park']; ['Mary,walk']; 11/11/2022; 12:06:18
['see', 'Bob', 'run']; []; 11/11/2022; 13:18:09
['see', 'Bob']; []; 11/11/2022; 13:18:09
['see', 'Bob', 'run']; []; 11/11/2022; 13:27:45
['see', 'Bob']; []; 11/11/2022; 13:31:26
['see', 'Bob', 'run']; []; 11/11/2022; 13:31:26
['see', 'Bob']; []; 11/11/2022; 13:41:52
['see', 'Bob']; []; 11/11/2022; 13:42:28
['see', 'Bob']; []; 11/11/2022; 13:43:07
['see', 'Bob', 'run']; []; 11/11/2022; 13:43:07
['see', 'Bob']; []; 11/11/2022; 13:49:05
['see', 'Bob']; []; 11/11/2022; 13:50:04
['see', 'Bob']; []; 11/11/2022; 13:51:37
['see', 'Bob']; []; 11/11/2022; 13:52:07
['see', 'Bob']; []; 11/11/2022; 13:53:24
['see', 'Bob']; []; 11/11/2022; 13:54:57
['see', 'Bob', 'run']; []; 11/11/2022; 13:54:57
['see', 'Pookie', 'run']; []; 11/12/2022; 08:43:34
['see', 'Bob', 'run']; []; 11/12/2022; 08:59:32
['what', 'can', 'Bob', 'do']; ['Bob,NNP,see,eat,walk,run']; 11/12/2022; 08:59:32
['see', 'Mary', 'run']; []; 11/12/2022; 09:09:29
['what', 'can', 'Mary', 'do']; ['Mary,NNP,see,eat,walk,run']; 11/12/2022; 09:09:29
['see', 'Bob', 'walk']; []; 11/12/2022; 09:10:11
['what', 'can', 'Bob', 'do']; ['Bob,NNP,see,eat,walk,run']; 11/12/2022; 09:10:11
['what', 'can', 'Simp', 'do']; ['Simp,NNP,compute']; 11/12/2022; 09:10:11
['see', 'Simp', 'run']; []; 11/12/2022; 09:10:11
['see', 'Bob', 'run']; []; 11/12/2022; 09:10:11
['what', 'can', 'Simp', 'do']; ['Simp,NNP,compute']; 11/12/2022; 09:17:54
['who', 'is', 'Mary']; []; 11/13/2022; 08:25:16
['what', 'is', 'Mary']; []; 11/13/2022; 08:25:16
['where', 'is', 'Mary']; []; 11/13/2022; 08:25:16
['what', 'can', 'Mary', 'do']; ['Mary,NNP,see,eat,walk,run']; 11/13/2022; 08:25:16
['what', 'is', 'Mary']; []; 11/13/2022; 08:34:07
['what', 'can', 'Mary', 'do']; ['Mary,NNP,see,eat,walk,run']; 11/13/2022; 08:34:07
['what', 'can', 'Mary', 'do']; ['Mary,NNP,see,eat,walk,run']; 11/13/2022; 08:36:28
['how', 'is', 'Mary']; []; 11/13/2022; 08:36:28
['what', 'is', 'Mary']; []; 11/13/2022; 08:36:28
['what', 'is', 'Mary']; [',see,eat,walk,run']; 11/13/2022; 08:39:33
['what', 'can', 'Mary', 'do']; ['Mary,NNP,see,eat,walk,run']; 11/13/2022; 08:41:29
['what', 'is', 'Mary']; [',see,eat,walk,run']; 11/13/2022; 08:41:29
['what', 'can', 'Mary', 'do']; ['Mary,NNP,see,eat,walk,run']; 11/13/2022; 08:45:19
['what', 'is', 'Mary']; [',see,eat,walk,run']; 11/13/2022; 08:45:19
['Mary', 'walked', 'Pookie', 'in', 'the', 'park']; ['Mary,walk', 'Pookie,walk']; 11/13/2022; 09:08:59
['what', 'can', 'Mary', 'do']; ['Mary,NNP,see,eat,walk,run']; 11/13/2022; 09:08:59
['what', 'is', 'Mary']; [',see,eat,walk,run']; 11/13/2022; 09:08:59
['what', 'can', 'Mary', 'do']; ['Mary,NNP,see,eat,walk,run']; 11/13/2022; 09:18:26
['what', 'can', 'Mary', 'do']; ['Mary,NNP,see,eat,walk,run']; 11/13/2022; 09:20:26
['what', 'can', 'Mary', 'do']; ['Mary,NNP,see,eat,walk,run']; 11/13/2022; 09:23:36
['what', 'can', 'Mary', 'do']; []; 11/13/2022; 09:27:18
['what', 'can', 'Mary', 'do']; []; 11/13/2022; 09:29:32
['what', 'can', 'Mary', 'do']; []; 11/13/2022; 09:32:04
['what', 'can', 'Mary', 'do']; []; 11/13/2022; 09:35:31
['what', 'can', 'Mary', 'do']; []; 11/13/2022; 09:36:28
['what', 'can', 'Mary', 'do']; []; 11/13/2022; 09:39:18
['what', 'can', 'Mary', 'do']; []; 11/13/2022; 09:41:29
['what', 'can', 'Mary', 'do']; []; 11/13/2022; 09:44:12
['what', 'can', 'Mary', 'do']; []; 11/13/2022; 09:46:56
['what', 'is', 'Mary']; [',see,eat,walk,run']; 11/13/2022; 09:46:56
['what', 'is', 'Mary']; [',see,eat,walk,run']; 11/13/2022; 09:52:46
['what', 'is', 'Mary']; []; 11/13/2022; 10:03:16
['what', 'is', 'Mary']; []; 11/13/2022; 10:05:12
['what', 'is', 'a', 'bus']; []; 11/13/2022; 10:35:50
['what', 'is', 'a', 'cat']; []; 11/13/2022; 10:35:50
['who', 'is', 'Mary']; []; 11/13/2022; 10:35:50
['what', 'is', 'a', 'cat']; []; 11/13/2022; 10:50:16
['what', 'is', 'a', 'cat']; []; 11/13/2022; 10:56:51
['what', 'is', 'Mary']; []; 11/13/2022; 10:56:51
['what', 'is', 'a', 'bus']; []; 11/13/2022; 10:56:51
['what', 'is', 'bus']; [',transport']; 11/13/2022; 10:56:51
['what', 'is', 'bus']; []; 11/13/2022; 11:03:11
['what', 'is', 'dog']; []; 11/13/2022; 11:03:11
['what', 'is', 'a', 'dog']; []; 11/13/2022; 11:03:11
['what', 'dog']; []; 11/13/2022; 11:03:11
['what', 'is', 'dogs']; [',see,eat,walk,run']; 11/13/2022; 11:03:11
['where', 'dog']; []; 11/13/2022; 11:03:11
['where', 'is', 'dog']; []; 11/13/2022; 11:03:11
['where', 'is', 'the', 'park']; []; 11/13/2022; 11:23:07
['where', 'is', 'the', 'park']; []; 11/13/2022; 11:24:32
['where', 'is', 'the', 'park']; []; 11/13/2022; 11:27:43
['who', 'is', 'the', 'park']; []; 11/13/2022; 11:27:43
['what', 'is', 'park']; []; 11/13/2022; 11:27:43
['where', 'is', 'the', 'park']; []; 11/13/2022; 11:48:27
['where', 'is', 'the', 'park']; []; 11/13/2022; 11:49:14
['where', 'is', 'the', 'park']; []; 11/13/2022; 11:54:34
['where', 'is', 'the', 'park']; []; 11/13/2022; 11:57:06
['where', 'is', 'the', 'park']; []; 11/13/2022; 11:58:39
['where', 'is', 'the', 'park']; []; 11/13/2022; 11:59:11
['where', 'is', 'the', 'park']; []; 11/13/2022; 12:03:39
['see', 'Pookie', 'run']; []; 11/19/2022; 10:39:07
['see', 'Pookie', 'run']; []; 11/19/2022; 10:39:07
['Mary', 'walks', 'in', 'the', 'park']; ['Mary,walk']; 11/19/2022; 10:51:24
['see', 'Bob', 'run']; []; 11/19/2022; 10:51:24
['see', 'Bob', 'run']; []; 11/19/2022; 11:00:10
['see', 'Bob', 'run']; []; 11/19/2022; 11:01:23
['see', 'Bob', 'run']; []; 11/19/2022; 11:04:57
['see', 'Bob', 'run']; []; 11/19/2022; 11:05:54
['see', 'Bob', 'run']; []; 11/19/2022; 11:07:24
['Bob', 'run', 'see']; ['Bob,see']; 11/19/2022; 11:23:18
['Bob', 'run', 'see']; ['Bob,see']; 11/19/2022; 11:23:18
['Bob', 'run', 'see']; ['Bob,see']; 11/19/2022; 11:26:19
['see', 'Bob', 'run']; []; 11/19/2022; 11:29:50
['see', 'Bob', 'run']; []; 11/19/2022; 11:32:40
['see', 'Bob', 'run']; []; 11/19/2022; 11:34:32
['see', 'Bob', 'run']; []; 11/19/2022; 11:36:48
['see', 'Bob', 'run']; []; 11/19/2022; 11:47:08
['see', 'Pookie', 'run']; []; 11/19/2022; 11:47:08
['see', 'duck', 'fly']; []; 11/19/2022; 13:02:11
['see', 'duck', 'run']; []; 11/19/2022; 13:09:30
['see', 'Bob', 'run']; []; 11/19/2022; 13:12:06
['see', 'Bob', 'run']; []; 11/19/2022; 13:13:31
['see', 'Bob', 'run']; []; 11/19/2022; 13:38:18
['see', 'Bob', 'run']; []; 11/19/2022; 13:40:03
['see', 'Mary', 'fly']; []; 11/20/2022; 07:58:42
['see', 'Mary', 'run']; []; 11/20/2022; 08:01:10
['see', 'Bob', 'run']; []; 11/20/2022; 08:02:59
['see', 'Bob', 'run']; []; 11/20/2022; 08:19:39
['see', 'Pookie', 'run']; []; 11/20/2022; 08:27:46
['see', 'Bob', 'walk']; []; 11/20/2022; 08:30:25
['see', 'Bob', 'run']; []; 11/20/2022; 08:42:40
['see', 'Bob', 'fly']; []; 11/20/2022; 08:44:44
['see', 'Bob', 'fly']; []; 11/20/2022; 08:48:53
['see', 'Pookie', 'fly']; []; 11/20/2022; 08:52:02
['see', 'Pookie', 'run']; []; 11/20/2022; 08:58:31
['see', 'Bob', 'run']; []; 11/20/2022; 09:01:20
['see', 'Bob', 'walk']; []; 11/20/2022; 09:17:38
['see', 'bus', 'walk']; []; 11/20/2022; 09:20:40
['see', 'the', 'telescope']; []; 11/20/2022; 09:29:40
['see', 'bus']; []; 11/20/2022; 09:37:19
['see', 'Bob', 'eat']; []; 11/20/2022; 09:41:13
['Mary', 'walks', 'Pookie', 'in', 'the', 'park']; ['Mary,walk', 'Pookie,walk']; 11/20/2022; 09:46:23
['Pookie', 'flies', 'in', 'the', 'park']; []; 11/20/2022; 09:46:23
['see', 'Bob', 'run']; []; 11/20/2022; 09:46:23
['telescope', 'eat', 'park', 'in', 'the', 'bus']; []; 11/20/2022; 09:46:23
['see', 'Pookie', 'run']; []; 11/20/2022; 10:00:23
['Pookie', 'ran', 'in', 'the', 'park']; []; 11/20/2022; 10:00:23
['Pookie', 'eats', 'ducks']; []; 11/20/2022; 10:00:23
['the', 'ducks', 'ate', 'Pookie']; ['ducks,eat']; 11/20/2022; 10:00:23
['what', 'is', 'Pookie']; []; 11/20/2022; 10:00:23
['see', 'Pookie', 'walk']; []; 11/20/2022; 10:34:42
['see', 'Bob', 'run']; []; 11/20/2022; 11:15:34
['see', 'Bob', 'run']; []; 11/20/2022; 11:19:01
['see', 'Bob', 'run']; []; 11/20/2022; 11:20:29
['see', 'Bob', 'run']; []; 11/20/2022; 11:22:22
['see', 'Bob', 'run']; []; 11/20/2022; 11:25:00
['see', 'Bob', 'run']; []; 11/20/2022; 11:26:41
['see', 'Bob', 'run']; []; 11/20/2022; 11:28:15
['see', 'Bob', 'run']; []; 11/20/2022; 11:30:02
['see', 'Mary', 'run']; []; 11/26/2022; 11:12:55
['see', 'Mary', 'run', 'in', 'the', 'park']; []; 11/26/2022; 11:12:55
['see', 'Bob', 'run', 'in', 'the', 'park']; []; 11/27/2022; 09:04:21
['see', 'Bob', 'run', 'in', 'the', 'park']; []; 11/27/2022; 09:05:36
['see', 'Bob', 'run']; []; 11/27/2022; 09:08:28
['see', 'Bob', 'run']; []; 11/27/2022; 09:09:31
['see', 'Bob', 'run']; []; 11/27/2022; 09:11:25
